"","country","year","admin1","admin2","vaccine_name","target_define","doses","target_number"
"1","GHA",2018,"Ashanti","Adansi North","YFV","SURVIVING_INFANT",5820,5876
"2","GHA",2018,"Ashanti","Adansi North","MCV1","SURVIVING_INFANT",5881,5876
"3","GHA",2018,"Ashanti","Adansi North","DTP3","SURVIVING_INFANT",5954,5876
"4","GHA",2018,"Ashanti","Adansi North","DTP1","SURVIVING_INFANT",5985,5876
"5","GHA",2018,"Ashanti","Adansi North","BCG","LIVE_BIRTH",6524,6001
"6","GHA",2018,"Ashanti","Adansi South","MCV1","SURVIVING_INFANT",5383,6319
"7","GHA",2018,"Ashanti","Adansi South","YFV","SURVIVING_INFANT",5383,6319
"8","GHA",2018,"Ashanti","Adansi South","DTP1","SURVIVING_INFANT",6072,6319
"9","GHA",2018,"Ashanti","Adansi South","DTP3","SURVIVING_INFANT",6086,6319
"10","GHA",2018,"Ashanti","Adansi South","BCG","LIVE_BIRTH",5863,6456
"11","GHA",2018,"Ashanti","Afigya-Kwabre","YFV","SURVIVING_INFANT",8856,7205
"12","GHA",2018,"Ashanti","Afigya-Kwabre","MCV1","SURVIVING_INFANT",9221,7205
"13","GHA",2018,"Ashanti","Afigya-Kwabre","DTP3","SURVIVING_INFANT",9594,7205
"14","GHA",2018,"Ashanti","Afigya-Kwabre","DTP1","SURVIVING_INFANT",9983,7205
"15","GHA",2018,"Ashanti","Afigya-Kwabre","BCG","LIVE_BIRTH",8872,7364
"16","GHA",2018,"Ashanti","Ahafo-Ano North","YFV","SURVIVING_INFANT",4815,5433
"17","GHA",2018,"Ashanti","Ahafo-Ano North","MCV1","SURVIVING_INFANT",5113,5433
"18","GHA",2018,"Ashanti","Ahafo-Ano North","DTP3","SURVIVING_INFANT",5330,5433
"19","GHA",2018,"Ashanti","Ahafo-Ano North","DTP1","SURVIVING_INFANT",5709,5433
"20","GHA",2018,"Ashanti","Ahafo-Ano North","BCG","LIVE_BIRTH",5901,5546
"21","GHA",2018,"Ashanti","Ahafo-Ano South","MCV1","SURVIVING_INFANT",6508,6541
"22","GHA",2018,"Ashanti","Ahafo-Ano South","YFV","SURVIVING_INFANT",6508,6541
"23","GHA",2018,"Ashanti","Ahafo-Ano South","DTP3","SURVIVING_INFANT",6695,6541
"24","GHA",2018,"Ashanti","Ahafo-Ano South","DTP1","SURVIVING_INFANT",6969,6541
"25","GHA",2018,"Ashanti","Ahafo-Ano South","BCG","LIVE_BIRTH",6910,6683
"26","GHA",2018,"Ashanti","Amansie Central","MCV1","SURVIVING_INFANT",5056,5214
"27","GHA",2018,"Ashanti","Amansie Central","YFV","SURVIVING_INFANT",5146,5214
"28","GHA",2018,"Ashanti","Amansie Central","DTP1","SURVIVING_INFANT",5452,5214
"29","GHA",2018,"Ashanti","Amansie Central","DTP3","SURVIVING_INFANT",5503,5214
"30","GHA",2018,"Ashanti","Amansie Central","BCG","LIVE_BIRTH",5299,5322
"31","GHA",2018,"Ashanti","Amansie West","DTP3","SURVIVING_INFANT",8082,7206
"32","GHA",2018,"Ashanti","Amansie West","MCV1","SURVIVING_INFANT",8114,7206
"33","GHA",2018,"Ashanti","Amansie West","YFV","SURVIVING_INFANT",8182,7206
"34","GHA",2018,"Ashanti","Amansie West","DTP1","SURVIVING_INFANT",8549,7206
"35","GHA",2018,"Ashanti","Amansie West","BCG","LIVE_BIRTH",9382,7365
"36","GHA",2018,"Ashanti","Asante-Akim Central","YFV","SURVIVING_INFANT",4273,4324
"37","GHA",2018,"Ashanti","Asante-Akim Central","MCV1","SURVIVING_INFANT",4327,4324
"38","GHA",2018,"Ashanti","Asante-Akim Central","DTP1","SURVIVING_INFANT",4586,4324
"39","GHA",2018,"Ashanti","Asante-Akim Central","DTP3","SURVIVING_INFANT",4616,4324
"40","GHA",2018,"Ashanti","Asante-Akim Central","BCG","LIVE_BIRTH",4163,4410
"41","GHA",2018,"Ashanti","Asante-Akim North","YFV","SURVIVING_INFANT",4137,4102
"42","GHA",2018,"Ashanti","Asante-Akim North","MCV1","SURVIVING_INFANT",4221,4102
"43","GHA",2018,"Ashanti","Asante-Akim North","DTP3","SURVIVING_INFANT",4762,4102
"44","GHA",2018,"Ashanti","Asante-Akim North","DTP1","SURVIVING_INFANT",5097,4102
"45","GHA",2018,"Ashanti","Asante-Akim North","BCG","LIVE_BIRTH",5004,4182
"46","GHA",2018,"Ashanti","Asante-Akim South","YFV","SURVIVING_INFANT",4559,6540
"47","GHA",2018,"Ashanti","Asante-Akim South","MCV1","SURVIVING_INFANT",4635,6540
"48","GHA",2018,"Ashanti","Asante-Akim South","DTP1","SURVIVING_INFANT",4926,6540
"49","GHA",2018,"Ashanti","Asante-Akim South","DTP3","SURVIVING_INFANT",5167,6540
"50","GHA",2018,"Ashanti","Asante-Akim South","BCG","LIVE_BIRTH",4831,6682
"51","GHA",2018,"Ashanti","Asante-Mampong","MCV1","SURVIVING_INFANT",3986,4989
"52","GHA",2018,"Ashanti","Asante-Mampong","YFV","SURVIVING_INFANT",3986,4989
"53","GHA",2018,"Ashanti","Asante-Mampong","DTP3","SURVIVING_INFANT",4198,4989
"54","GHA",2018,"Ashanti","Asante-Mampong","DTP1","SURVIVING_INFANT",4322,4989
"55","GHA",2018,"Ashanti","Asante-Mampong","BCG","LIVE_BIRTH",4380,5092
"56","GHA",2018,"Ashanti","Asokore-Mampong","DTP3","SURVIVING_INFANT",15136,15184
"57","GHA",2018,"Ashanti","Asokore-Mampong","YFV","SURVIVING_INFANT",15182,15184
"58","GHA",2018,"Ashanti","Asokore-Mampong","MCV1","SURVIVING_INFANT",15293,15184
"59","GHA",2018,"Ashanti","Asokore-Mampong","DTP1","SURVIVING_INFANT",15714,15184
"60","GHA",2018,"Ashanti","Asokore-Mampong","BCG","LIVE_BIRTH",12087,15548
"61","GHA",2018,"Ashanti","Atwima-Kwanwoma","DTP3","SURVIVING_INFANT",7078,5211
"62","GHA",2018,"Ashanti","Atwima-Kwanwoma","DTP1","SURVIVING_INFANT",7123,5211
"63","GHA",2018,"Ashanti","Atwima-Kwanwoma","YFV","SURVIVING_INFANT",7177,5211
"64","GHA",2018,"Ashanti","Atwima-Kwanwoma","MCV1","SURVIVING_INFANT",7182,5211
"65","GHA",2018,"Ashanti","Atwima-Kwanwoma","BCG","LIVE_BIRTH",7559,5319
"66","GHA",2018,"Ashanti","Atwima-Mponua","MCV1","SURVIVING_INFANT",6330,6541
"67","GHA",2018,"Ashanti","Atwima-Mponua","YFV","SURVIVING_INFANT",6359,6541
"68","GHA",2018,"Ashanti","Atwima-Mponua","DTP3","SURVIVING_INFANT",6376,6541
"69","GHA",2018,"Ashanti","Atwima-Mponua","DTP1","SURVIVING_INFANT",6485,6541
"70","GHA",2018,"Ashanti","Atwima-Mponua","BCG","LIVE_BIRTH",5419,6683
"71","GHA",2018,"Ashanti","Atwima-Nwabiagya","YFV","SURVIVING_INFANT",9993,7871
"72","GHA",2018,"Ashanti","Atwima-Nwabiagya","MCV1","SURVIVING_INFANT",10147,7871
"73","GHA",2018,"Ashanti","Atwima-Nwabiagya","DTP3","SURVIVING_INFANT",11398,7871
"74","GHA",2018,"Ashanti","Atwima-Nwabiagya","DTP1","SURVIVING_INFANT",11402,7871
"75","GHA",2018,"Ashanti","Atwima-Nwabiagya","BCG","LIVE_BIRTH",11425,8047
"76","GHA",2018,"Ashanti","Bekwai","YFV","SURVIVING_INFANT",4169,5722
"77","GHA",2018,"Ashanti","Bekwai","MCV1","SURVIVING_INFANT",4256,5722
"78","GHA",2018,"Ashanti","Bekwai","DTP3","SURVIVING_INFANT",4563,5722
"79","GHA",2018,"Ashanti","Bekwai","DTP1","SURVIVING_INFANT",4800,5722
"80","GHA",2018,"Ashanti","Bekwai","BCG","LIVE_BIRTH",5434,5843
"81","GHA",2018,"Ashanti","Bosome-Freho","YFV","SURVIVING_INFANT",3197,3881
"82","GHA",2018,"Ashanti","Bosome-Freho","MCV1","SURVIVING_INFANT",3207,3881
"83","GHA",2018,"Ashanti","Bosome-Freho","DTP1","SURVIVING_INFANT",3348,3881
"84","GHA",2018,"Ashanti","Bosome-Freho","DTP3","SURVIVING_INFANT",3406,3881
"85","GHA",2018,"Ashanti","Bosome-Freho","BCG","LIVE_BIRTH",2945,3955
"86","GHA",2018,"Ashanti","Bosomtwe","DTP3","SURVIVING_INFANT",5451,5433
"87","GHA",2018,"Ashanti","Bosomtwe","YFV","SURVIVING_INFANT",5927,5433
"88","GHA",2018,"Ashanti","Bosomtwe","MCV1","SURVIVING_INFANT",5939,5433
"89","GHA",2018,"Ashanti","Bosomtwe","DTP1","SURVIVING_INFANT",5965,5433
"90","GHA",2018,"Ashanti","Bosomtwe","BCG","LIVE_BIRTH",6456,5547
"91","GHA",2018,"Ashanti","Ejisu-Juaben","YFV","SURVIVING_INFANT",8141,7648
"92","GHA",2018,"Ashanti","Ejisu-Juaben","MCV1","SURVIVING_INFANT",8270,7648
"93","GHA",2018,"Ashanti","Ejisu-Juaben","DTP3","SURVIVING_INFANT",8355,7648
"94","GHA",2018,"Ashanti","Ejisu-Juaben","DTP1","SURVIVING_INFANT",9268,7648
"95","GHA",2018,"Ashanti","Ejisu-Juaben","BCG","LIVE_BIRTH",10676,7819
"96","GHA",2018,"Ashanti","Ejura-Sekyedumasi","YFV","SURVIVING_INFANT",8126,4989
"97","GHA",2018,"Ashanti","Ejura-Sekyedumasi","MCV1","SURVIVING_INFANT",8173,4989
"98","GHA",2018,"Ashanti","Ejura-Sekyedumasi","DTP3","SURVIVING_INFANT",9766,4989
"99","GHA",2018,"Ashanti","Ejura-Sekyedumasi","DTP1","SURVIVING_INFANT",9942,4989
"100","GHA",2018,"Ashanti","Ejura-Sekyedumasi","BCG","LIVE_BIRTH",9841,5092
"101","GHA",2018,"Ashanti","Kumasi","MCV1","SURVIVING_INFANT",65805,81226
"102","GHA",2018,"Ashanti","Kumasi","YFV","SURVIVING_INFANT",66186,81226
"103","GHA",2018,"Ashanti","Kumasi","DTP3","SURVIVING_INFANT",69671,81226
"104","GHA",2018,"Ashanti","Kumasi","DTP1","SURVIVING_INFANT",73794,81226
"105","GHA",2018,"Ashanti","Kumasi","BCG","LIVE_BIRTH",65637,83283
"106","GHA",2018,"Ashanti","Kwabre  East","DTP3","SURVIVING_INFANT",6448,6319
"107","GHA",2018,"Ashanti","Kwabre  East","DTP1","SURVIVING_INFANT",6483,6319
"108","GHA",2018,"Ashanti","Kwabre  East","YFV","SURVIVING_INFANT",6617,6319
"109","GHA",2018,"Ashanti","Kwabre  East","MCV1","SURVIVING_INFANT",6669,6319
"110","GHA",2018,"Ashanti","Kwabre  East","BCG","LIVE_BIRTH",6353,6456
"111","GHA",2018,"Ashanti","Obuasi","YFV","SURVIVING_INFANT",7878,8757
"112","GHA",2018,"Ashanti","Obuasi","MCV1","SURVIVING_INFANT",7901,8757
"113","GHA",2018,"Ashanti","Obuasi","DTP3","SURVIVING_INFANT",8174,8757
"114","GHA",2018,"Ashanti","Obuasi","DTP1","SURVIVING_INFANT",8438,8757
"115","GHA",2018,"Ashanti","Obuasi","BCG","LIVE_BIRTH",9031,8956
"116","GHA",2018,"Ashanti","Offinso","MCV1","SURVIVING_INFANT",4714,4546
"117","GHA",2018,"Ashanti","Offinso","YFV","SURVIVING_INFANT",4730,4546
"118","GHA",2018,"Ashanti","Offinso","DTP3","SURVIVING_INFANT",4808,4546
"119","GHA",2018,"Ashanti","Offinso","DTP1","SURVIVING_INFANT",5343,4546
"120","GHA",2018,"Ashanti","Offinso","BCG","LIVE_BIRTH",8712,4637
"121","GHA",2018,"Ashanti","Offinso North","MCV1","SURVIVING_INFANT",3603,3660
"122","GHA",2018,"Ashanti","Offinso North","YFV","SURVIVING_INFANT",3646,3660
"123","GHA",2018,"Ashanti","Offinso North","DTP3","SURVIVING_INFANT",3996,3660
"124","GHA",2018,"Ashanti","Offinso North","DTP1","SURVIVING_INFANT",4234,3660
"125","GHA",2018,"Ashanti","Offinso North","BCG","LIVE_BIRTH",4130,3728
"126","GHA",2018,"Ashanti","Sekyere Central","MCV1","SURVIVING_INFANT",2872,4324
"127","GHA",2018,"Ashanti","Sekyere Central","YFV","SURVIVING_INFANT",2873,4324
"128","GHA",2018,"Ashanti","Sekyere Central","DTP1","SURVIVING_INFANT",3001,4324
"129","GHA",2018,"Ashanti","Sekyere Central","DTP3","SURVIVING_INFANT",3002,4324
"130","GHA",2018,"Ashanti","Sekyere Central","BCG","LIVE_BIRTH",2603,4410
"131","GHA",2018,"Ashanti","Sekyere East","MCV1","SURVIVING_INFANT",3844,3881
"132","GHA",2018,"Ashanti","Sekyere East","YFV","SURVIVING_INFANT",3844,3881
"133","GHA",2018,"Ashanti","Sekyere East","DTP3","SURVIVING_INFANT",4027,3881
"134","GHA",2018,"Ashanti","Sekyere East","DTP1","SURVIVING_INFANT",4178,3881
"135","GHA",2018,"Ashanti","Sekyere East","BCG","LIVE_BIRTH",4253,3955
"136","GHA",2018,"Ashanti","Sekyere South","MCV1","SURVIVING_INFANT",4509,5433
"137","GHA",2018,"Ashanti","Sekyere South","YFV","SURVIVING_INFANT",4523,5433
"138","GHA",2018,"Ashanti","Sekyere South","DTP3","SURVIVING_INFANT",4803,5433
