"","Ts","AreaCode","CatNum","Severity","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","Myitkyina","AREA # 010101",1,"No - no difficulty","2713","2544","2739","2806","2881","2681","2714","3054","3127","2991","3154","2879","3263","3714","3699","3271","3486","3710","4163","3419","4009","2854","2995","2996","2589","3071","2488","2403","2746","2341","3294","2055","2429","2252","1955","2550","2008","2037","2294","1727","2746","1607","2000","1949","1698","2249","1452","1358","1723","1266","2058","1034","1478","1404","1294","1436","1192","957","1043","722","1339","549","710","779","632","911","470","584","554","329","722","275","377","360","306","490","230","204","269","113","365","99","106","110","112","147","70","75","58","43","237"
"2","Myitkyina","AREA # 010101",2,"Yes - some difficulty","7","1","-","2","-","3","1","5","5","5","4","4","5","10","5","4","4","6","12","1","4","6","6","5","7","4","5","6","4","4","10","5","6","9","8","9","12","6","12","6","19","5","10","6","6","17","10","15","15","9","40","13","22","23","32","25","27","15","20","17","56","16","20","32","29","50","23","31","31","26","69","22","34","37","41","64","27","18","34","21","76","15","28","19","16","34","10","16","11","18","76"
"3","Myitkyina","AREA # 010101",3,"Yes - a lot of difficulty","-","-","-","2","1","1","-","1","-","1","1","1","1","1","1","1","2","4","2","-","2","-","2","2","3","1","2","1","-","1","2","3","-","-","-","2","1","1","2","1","6","-","2","1","2","4","4","4","2","-","6","1","3","1","1","1","4","3","5","2","9","-","-","1","4","5","2","5","3","1","19","1","7","12","3","16","7","6","9","8","11","4","6","3","5","15","4","2","3","2","33"
"4","Myitkyina","AREA # 010101",4,"Yes - cannot hear at all","-","-","-","1","2","-","3","-","1","2","-","4","-","3","-","3","1","2","1","3","4","3","2","4","2","2","1","3","1","-","4","2","-","1","1","4","1","2","2","2","2","2","-","1","2","2","-","-","2","-","6","5","3","5","3","1","2","2","-","1","4","2","3","-","1","3","2","2","2","1","3","2","4","1","3","2","3","-","-","3","12","-","4","5","1","5","1","1","2","1","25"
"5","Waingmaw","AREA # 010102",1,"No - no difficulty","1215","1079","1216","1226","1197","1191","1158","1268","1271","1189","1266","1107","1324","1336","1237","1079","1049","1043","1119","851","1047","778","778","807","783","900","673","692","853","733","1025","577","676","709","588","781","674","580","696","505","915","438","636","626","469","766","473","401","546","386","825","342","491","485","402","551","398","298","339","225","552","211","240","245","193","298","153","172","166","93","312","93","109","104","78","121","77","29","75","33","119","20","36","35","28","41","16","15","9","9","61"
"6","Waingmaw","AREA # 010102",2,"Yes - some difficulty","4","1","3","1","4","2","7","5","8","11","5","5","8","5","6","8","4","4","5","6","2","7","5","4","4","8","-","7","6","11","16","4","10","11","10","4","9","7","9","5","27","9","14","9","12","15","23","15","19","11","34","27","23","23","24","35","28","18","19","20","55","20","32","21","27","30","20","29","29","14","74","11","21","18","16","42","20","20","12","11","51","3","7","11","11","19","6","7","9","9","25"
"7","Waingmaw","AREA # 010102",3,"Yes - a lot of difficulty","1","1","-","-","-","-","-","-","2","2","-","2","3","1","2","1","-","-","2","-","1","-","2","1","-","-","-","1","1","1","1","2","-","3","4","-","-","-","3","3","5","-","-","1","1","4","-","3","3","2","8","-","4","3","3","8","2","2","2","1","8","2","2","4","1","4","2","1","4","1","14","1","3","3","3","5","2","1","6","-","12","-","4","3","4","8","1","3","2","3","26"
"8","Waingmaw","AREA # 010102",4,"Yes - cannot hear at all","-","-","-","-","-","1","-","-","-","1","2","1","2","-","-","-","1","1","-","-","1","-","1","2","1","1","-","1","3","-","2","2","-","1","-","2","1","1","-","-","2","1","2","-","-","1","-","3","3","-","3","1","1","2","-","1","2","2","-","-","4","1","-","-","-","1","2","1","-","1","2","-","1","-","1","1","1","1","1","-","5","1","-","1","-","-","-","1","-","1","7"
"9","Ingyanyan","AREA # 010103",1,"No - no difficulty","18","22","23","19","15","19","31","15","19","15","21","15","14","21","18","17","18","11","17","10","15","11","9","18","11","22","8","16","16","12","22","8","12","7","5","19","9","7","11","8","6","12","12","8","5","16","4","6","9","2","12","5","9","3","5","5","2","2","6","1","9","2","2","-","2","1","1","-","2","1","-","-","-","1","-","2","-","-","1","-","1","-","1","1","-","-","-","1","-","-","-"
"10","Ingyanyan","AREA # 010103",2,"Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","1","-","-","-","-","-","-","-","-","1","-","-","-","-","-","2","-","-","-","-","-","-","-","1","1","-","1","1","-","-","-","-","-","-","-","1","2","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-"
