"","Ts","AreaCode","CatNum","Severity","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","Myitkyina","AREA # 010101",1,"No - no difficulty","2698","2529","2731","2803","2870","2679","2710","3052","3124","2982","3150","2873","3260","3710","3692","3263","3483","3709","4168","3415","4006","2856","3000","2993","2589","3070","2482","2405","2745","2337","3294","2055","2428","2256","1956","2548","2018","2039","2296","1730","2762","1607","1992","1951","1694","2254","1454","1358","1725","1262","2076","1039","1485","1410","1307","1437","1202","965","1049","734","1360","555","712","787","646","937","478","592","568","339","744","285","387","375","326","517","243","204","287","123","404","104","123","119","118","166","74","78","67","54","255"
"2","Myitkyina","AREA # 010101",2,"Yes - some difficulty","12","12","4","3","10","4","2","2","5","7","4","6","3","5","2","5","3","5","6","3","5","3","3","2","4","1","3","7","3","5","11","5","4","4","5","12","2","4","14","5","6","6","15","3","12","13","10","15","14","11","26","10","17","16","14","23","15","7","12","6","38","11","18","20","18","25","9","26","18","16","57","11","24","22","18","40","19","19","22","15","35","9","13","7","11","21","6","12","4","6","58"
"3","Myitkyina","AREA # 010101",3,"Yes - a lot of difficulty","6","3","-","3","2","2","3","2","4","6","2","3","3","7","3","4","6","2","2","1","2","1","1","4","-","4","5","1","-","2","2","1","1","2","2","3","1","-","-","-","2","1","4","1","-","2","1","3","-","1","5","2","1","3","4","-","5","3","5","2","10","-","1","3","2","4","5","3","2","1","6","2","8","11","8","13","2","3","1","5","14","4","6","6","4","9","4","2","2","3","34"
"4","Myitkyina","AREA # 010101",4,"Yes - cannot remember/concentrate at all","4","1","4","2","2","-","3","4","-","4","3","6","3","6","8","7","1","6","2","4","6","3","1","8","8","3","6","-","3","2","3","4","2","-","1","2","1","3","-","1","3","-","1","2","2","3","1","1","3","1","3","2","3","4","5","3","3","2","2","-","-","1","2","2","-","3","5","1","2","1","6","2","3","2","1","2","3","2","2","2","11","1","2","5","1","5","1","2","1","1","24"
"5","Waingmaw","AREA # 010102",1,"No - no difficulty","1196","1075","1204","1222","1194","1190","1161","1269","1271","1194","1262","1103","1326","1334","1232","1080","1049","1038","1119","850","1044","779","778","808","779","901","670","693","850","733","1029","574","679","711","588","776","672","578","693","501","919","439","639","621","471","767","476","401","551","381","820","353","488","493","409","564","409","308","344","227","580","217","249","250","198","303","154","185","179","99","336","100","115","104","83","134","84","39","81","35","131","21","41","35","30","56","17","17","15","15","70"
"6","Waingmaw","AREA # 010102",2,"Yes - some difficulty","11","4","13","4","5","2","2","4","5","6","6","8","3","4","6","3","1","4","4","3","3","2","7","3","7","3","1","5","7","9","9","5","7","9","9","9","10","7","12","9","22","8","13","11","10","18","19","21","18","17","36","16","25","16","18","25","16","9","15","17","33","13","21","18","20","24","19","15","18","6","48","4","13","17","9","23","14","11","9","8","42","2","3","11","9","5","4","7","3","2","21"
"7","Waingmaw","AREA # 010102",3,"Yes - a lot of difficulty","13","2","2","1","2","-","1","-","3","2","2","2","5","3","5","3","2","4","1","4","3","3","-","-","1","3","1","3","3","3","1","1","-","1","2","1","-","2","3","3","4","1","-","3","1","1","1","-","1","1","9","-","6","2","1","3","2","1","1","2","4","2","4","2","3","4","1","3","1","3","13","1","5","3","6","9","2","-","4","1","9","-","3","3","4","6","2","1","1","3","16"
"8","Waingmaw","AREA # 010102",4,"Yes - cannot remember/concentrate at all","-","-","-","-","-","2","1","-","2","1","3","2","3","1","2","2","2","2","2","-","1","1","1","3","1","2","1","-","3","-","5","5","-","3","3","1","2","1","-","-","4","-","-","1","-","-","-","-","1","-","5","1","-","2","1","3","3","2","-","-","2","2","-","-","-","2","3","-","1","1","5","-","1","1","-","3","-","1","-","-","5","1","-","1","-","1","-","1","1","2","12"
"9","Ingyanyan","AREA # 010103",1,"No - no difficulty","18","22","23","19","15","19","31","15","19","15","21","15","14","21","18","15","17","11","17","10","16","11","9","18","11","22","8","16","16","13","22","8","12","7","5","19","9","7","11","7","6","12","12","8","6","16","5","6","9","2","10","5","10","2","5","6","4","2","6","1","10","2","2","1","2","1","-","-","2","1","-","-","-","2","-","2","-","-","1","-","2","-","1","1","-","-","-","2","-","-","-"
"10","Ingyanyan","AREA # 010103",2,"Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","1","-","-","-","-","-","-","-","1","-","-","1","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11","Ingyanyan","AREA # 010103",3,"Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12","Ingyanyan","AREA # 010103",4,"Yes - cannot remember/concentrate at all","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"13","Tanaing","AREA # 010104",1,"No - no difficulty","550","473","521","512","527","497","476","557","528","469","499","431","458","501","453","463","401","401","522","394","527","353","458","404","380","450","365","357","458","358","620","328","387","368","299","375","329","275","330","259","458","204","297","270","231","383","198","172","202","143","352","136","160","169","159","190","135","117","101","64","197","47","66","66","56","116","37","46","38","23","99","17","22","34","20","46","17","5","14","9","53","2","10","11","7","14","3","4","3","3","31"
"14","Tanaing","AREA # 010104",2,"Yes - some difficulty","-","-","1","-","1","-","1","-","2","3","1","1","1","2","-","-","4","-","2","-","2","-","2","-","-","2","1","2","1","-","1","2","2","-","1","1","2","-","4","1","1","2","5","-","3","6","1","2","2","4","5","3","2","-","3","2","4","2","1","1","7","2","4","5","1","9","1","2","1","1","7","-","2","3","4","6","1","2","1","-","10","-","1","-","-","2","-","-","-","-","9"
"15","Tanaing","AREA # 010104",3,"Yes - a lot of difficulty","-","-","1","1","1","-","-","-","1","-","1","2","2","1","1","-","1","-","1","-","-","-","-","-","1","1","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","2","-","-","-","1","2","-","-","-","-","-","-","-","-","-","1"
