"","Ts","AreaCode","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","Myitkyina","AREA # 010101","1","No - no difficulty","735","2064","2558","2655","2566","2648","2381","2659","2885","2634","2217","2085","1864","1744","1237","928","514","337","223","124","94","64","54","36","28","23","18","18","11","15","17","19","11","9","9","11","8","11","2","8","7","3","3","5","3","7","3","6","7","1","7","3","4","3","1","4","1","6","2","3","1","3","3","3","-","3","1","2","4","4","2","1","-","3","2","2","-","-","1","1","-","1","1","-","1","1"
"2","Myitkyina","AREA # 010101","2","Yes - some difficulty","-","-","1","2","1","-","2","5","2","4","2","6","9","3","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"3","Myitkyina","AREA # 010101","3","Yes - a lot of difficulty","-","-","1","-","-","2","-","-","-","-","1","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4","Waingmaw","AREA # 010102","1","No - no difficulty","381","912","1128","1166","1086","1140","1009","1178","1124","990","769","638","504","403","251","201","108","66","50","30","24","18","8","16","7","10","7","5","5","3","5","5","4","2","1","5","1","4","4","4","4","1","1","2","2","1","1","4","1","-","2","1","1","-","-","1","2","3","-","-","1","2","1","1","-","1","-","-","1","1","-","-","-","-","-","3","-","-","-","-","-","-","-","-","-","-"
"5","Waingmaw","AREA # 010102","2","Yes - some difficulty","-","3","5","1","5","3","1","1","6","5","5","-","6","1","1","-","2","-","1","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-"
"6","Waingmaw","AREA # 010102","3","Yes - a lot of difficulty","-","-","1","1","-","3","1","-","3","2","1","-","1","1","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-"
"7","Waingmaw","AREA # 010102","4","Yes - cannot see at all","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-"
"8","Ingyanyan","AREA # 010103","1","No - no difficulty","2","18","12","14","11","18","11","12","17","13","12","9","8","8","2","-","2","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9","Tanaing","AREA # 010104","1","No - no difficulty","121","333","436","428","375","406","338","373","375","305","263","206","152","149","90","64","30","25","12","8","8","3","2","6","4","6","1","2","1","1","2","1","-","1","-","1","-","3","-","1","-","-","2","1","-","-","-","-","-","-","2","1","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","-","1","-","-","-","-","-","1","-","-","-","-"
"10","Tanaing","AREA # 010104","3","Yes - a lot of difficulty","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11","Chiphwe","AREA # 010105","1","No - no difficulty","37","91","95","125","104","105","91","106","108","92","63","64","50","35","16","11","8","3","4","4","1","1","-","-","-","1","-","2","-","-","1","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12","Chiphwe","AREA # 010105","2","Yes - some difficulty","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13","Hsotlaw","AREA # 010106","1","No - no difficulty","16","55","65","67","74","57","68","72","62","58","49","33","32","20","12","4","4","1","3","2","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14","Hsotlaw","AREA # 010106","2","Yes - some difficulty","-","1","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15","Hsinbo(ST)","AREA # 010151","1","No - no difficulty","33","98","109","97","104","96","114","110","76","90","47","39","25","30","19","13","4","2","3","-","1","-","-","-","-","-","-","-","-","-","1","-","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16","Hsadone(ST)","AREA # 010152","1","No - no difficulty","42","105","116","134","120","139","108","112","115","108","84","90","66","60","35","32","16","14","10","5","4","-","1","-","1","1","-","-","-","1","1","-","-","3","1","-","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","1","-","1","-","-","-","-","-"
"17","Hsadone(ST)","AREA # 010152","2","Yes - some difficulty","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18","Hsadone(ST)","AREA # 010152","3","Yes - a lot of difficulty","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19","Kanpaikti(ST)","AREA # 010153","1","No - no difficulty","23","67","88","78","72","86","55","73","69","52","54","56","36","36","19","13","7","6","7","4","5","3","-","1","1","1","-","1","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20","Kanpaikti(ST)","AREA # 010153","2","Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"21","Shinbwayyan(ST)","AREA # 010154","1","No - no difficulty","35","99","120","131","100","98","96","82","83","53","61","53","48","34","18","17","14","4","2","2","4","2","-","-","2","1","1","-","1","1","1","-","1","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22","Shinbwayyan(ST)","AREA # 010154","2","Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-"
"23","Panwa(ST)","AREA # 010155","1","No - no difficulty","10","39","52","69","57","82","52","68","47","49","41","39","24","14","15","3","5","3","2","3","1","-","-","-","-","-","-","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"24","Mohnyin","AREA # 010201","1","No - no difficulty","453","1501","1599","1674","1545","1602","1576","1667","1681","1326","1054","860","751","615","473","309","148","92","57","37","21","21","6","19","23","14","7","9","7","2","10","5","4","11","6","4","1","5","4","2","5","2","4","5","1","5","-","1","1","3","1","-","1","3","3","1","1","3","2","2","2","1","2","2","1","1","-","1","2","1","1","1","-","-","-","-","-","-","-","-","1","-","-","-","-","2"
"25","Mohnyin","AREA # 010201","2","Yes - some difficulty","-","1","-","-","-","1","1","-","2","1","2","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26","Mohnyin","AREA # 010201","3","Yes - a lot of difficulty","-","-","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27","Mogaung","AREA # 010202","1","No - no difficulty","388","1240","1391","1434","1388","1452","1350","1459","1489","1195","951","794","674","512","359","226","108","76","45","33","20","11","15","13","7","7","6","6","8","7","4","7","3","3","3","3","1","2","5","3","5","3","2","3","1","2","-","4","2","3","3","-","-","2","3","1","1","1","4","2","2","1","1","1","-","4","-","1","1","-","1","1","2","-","-","-","-","-","1","1","-","1","-","-","-","-"
"28","Mogaung","AREA # 010202","2","Yes - some difficulty","-","-","2","-","2","1","1","1","-","1","-","3","-","1","-","1","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29","Mogaung","AREA # 010202","3","Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-"
"30","Mogaung","AREA # 010202","4","Yes - cannot see at all","-","-","-","-","1","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"31","Phakant","AREA # 010203","1","No - no difficulty","379","1140","1325","1388","1209","1264","1166","1288","1231","1051","808","757","640","533","357","250","133","86","50","38","18","25","14","17","9","12","7","8","8","6","4","9","5","4","1","6","3","4","4","2","7","-","1","-","1","3","1","-","2","-","3","-","-","2","-","3","1","1","-","-","2","-","1","2","-","1","-","-","2","-","1","-","-","2","-","-","-","-","-","-","-","-","-","-","-","2"
"32","Phakant","AREA # 010203","2","Yes - some difficulty","-","2","2","1","1","1","-","4","3","1","1","7","5","1","2","2","-","-","-","-","1","1","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-"
"33","Phakant","AREA # 010203","3","Yes - a lot of difficulty","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-"
"34","Hopin(ST)","AREA # 010251","1","No - no difficulty","131","389","483","526","453","499","481","560","515","424","357","276","217","227","165","101","42","27","13","13","9","10","9","8","1","4","5","1","5","2","7","1","1","2","1","-","2","1","-","-","-","2","3","-","2","2","1","2","-","1","1","-","1","1","-","-","-","-","1","-","-","-","1","1","-","-","1","-","1","-","-","-","-","-","-","1","-","-","-","-","1","-","-","-","-","-"
"35","Hopin(ST)","AREA # 010251","2","Yes - some difficulty","-","-","-","1","-","-","-","2","1","-","2","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-"
"36","Hopin(ST)","AREA # 010251","3","Yes - a lot of difficulty","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"37","Kamine(ST)","AREA # 010252","1","No - no difficulty","48","156","215","207","203","213","165","212","166","183","142","102","72","69","42","32","17","11","10","1","4","1","5","5","1","2","2","1","-","1","-","-","-","-","-","3","-","2","1","-","-","-","-","-","1","1","1","1","-","-","-","-","1","-","-","-","1","-","-","-","2","-","-","-","-","1","-","1","-","-","1","1","-","-","-","-","-","-","-","-","1","-","-","-","-","-"
"38","Kamine(ST)","AREA # 010252","2","Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"39","Bhamo","AREA # 010301","1","No - no difficulty","381","1077","1148","1202","1074","1236","1091","1164","1092","962","727","594","515","448","305","240","122","68","50","26","28","15","12","14","7","7","5","6","6","2","6","6","4","4","1","5","2","3","2","2","1","2","3","3","2","2","3","1","-","4","1","4","1","2","1","4","3","-","-","2","3","3","2","2","1","-","-","-","-","-","-","-","-","1","1","-","1","1","-","-","-","1","-","-","-","-"
"40","Bhamo","AREA # 010301","2","Yes - some difficulty","1","-","-","1","1","1","3","2","3","5","3","4","4","4","1","-","-","1","-","1","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","2","1","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"41","Bhamo","AREA # 010301","3","Yes - a lot of difficulty","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"42","Bhamo","AREA # 010301","4","Yes - cannot see at all","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
