"","AreaCode","SR","District","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina","1","No - no difficulty",735,2064,2558,2655,2566,2648,2381,2659,2885,2634,2217,2085,1864,1744,1237,928,514,337,223,124,94,64,54,36,28,23,18,18,11,15,17,19,11,9,9,11,8,11,2,8,7,3,3,5,3,7,3,6,7,1,7,3,4,3,1,4,1,6,2,3,1,3,3,3,NA,3,1,2,4,4,2,1,NA,3,2,2,NA,NA,1,1,NA,1,1,NA,1,1
"2","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina","3","Yes - a lot of difficulty",NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina","2","Yes - some difficulty",NA,NA,1,2,1,NA,2,5,2,4,2,6,9,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw","1","No - no difficulty",381,912,1128,1166,1086,1140,1009,1178,1124,990,769,638,504,403,251,201,108,66,50,30,24,18,8,16,7,10,7,5,5,3,5,5,4,2,1,5,1,4,4,4,4,1,1,2,2,1,1,4,1,NA,2,1,1,NA,NA,1,2,3,NA,NA,1,2,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw","2","Yes - some difficulty",NA,3,5,1,5,3,1,1,6,5,5,NA,6,1,1,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"6","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw","4","Yes - cannot see at all",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw","3","Yes - a lot of difficulty",NA,NA,1,1,NA,3,1,NA,3,2,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"8","AREA # 010103","Kachin","Myitkyina","Ingyanyan","MMR001003","Injangyang","Ingyanyan","1","No - no difficulty",2,18,12,14,11,18,11,12,17,13,12,9,8,8,2,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AREA # 010104","Kachin","Myitkyina","Tanaing","MMR001004","Tanai","Tanaing","3","Yes - a lot of difficulty",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","AREA # 010104","Kachin","Myitkyina","Tanaing","MMR001004","Tanai","Tanaing","1","No - no difficulty",121,333,436,428,375,406,338,373,375,305,263,206,152,149,90,64,30,25,12,8,8,3,2,6,4,6,1,2,1,1,2,1,NA,1,NA,1,NA,3,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
