"","Ts","AreaCode","CatNum","Severity","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","Myitkyina","AREA # 010101",1,"No - no difficulty","2714","2542","2737","2805","2882","2683","2716","3057","3129","2995","3154","2883","3263","3724","3697","3267","3475","3704","4172","3415","4004","2857","2999","3001","2594","3068","2489","2392","2743","2340","3296","2053","2426","2258","1951","2548","2009","2033","2286","1719","2745","1593","1973","1919","1657","2216","1428","1325","1668","1218","2006","1001","1430","1356","1253","1390","1156","933","992","693","1300","532","684","741","619","859","441","556","527","324","667","266","366","336","294","452","219","193","247","103","352","98","107","110","112","138","64","67","58","45","228"
"2","Myitkyina","AREA # 010101",2,"Yes - some difficulty","5","2","1","4","1","2","-","2","4","1","1","3","5","2","7","8","12","13","5","7","12","4","3","2","5","9","6","13","6","5","11","7","9","4","8","13","10","12","21","13","24","20","38","33","50","51","35","49","70","53","100","48","73","75","71","69","59","38","65","47","90","31","41","63","40","91","46","58","55","29","119","28","45","59","47","98","36","30","54","35","80","15","25","18","16","41","14","20","9","13","75"
"3","Myitkyina","AREA # 010101",3,"Yes - a lot of difficulty","1","-","-","-","-","-","-","1","-","1","2","1","-","-","1","1","4","2","-","-","1","1","3","2","2","-","1","2","1","-","2","1","-","-","2","2","1","-","1","1","2","-","-","2","-","1","3","2","3","3","2","2","3","2","4","3","6","5","8","-","17","2","4","6","4","14","5","7","6","4","20","3","8","13","7","14","10","5","7","6","18","3","4","5","4","14","5","5","4","3","42"
"4","Myitkyina","AREA # 010101",4,"Yes - cannot see at all","-","1","1","2","1","-","2","-","-","2","2","1","1","2","-","3","2","3","1","1","2","1","-","2","-","1","-","6","1","1","1","4","-","-","3","2","2","1","2","3","2","1","1","3","1","4","-","1","1","1","2","2","-","-","2","1","4","1","3","2","1","2","4","2","3","5","5","1","2","-","7","3","3","2","5","8","2","-","4","1","14","2","8","4","2","8","2","2","3","3","26"
"5","Waingmaw","AREA # 010102",1,"No - no difficulty","1214","1077","1214","1226","1199","1194","1162","1266","1278","1196","1266","1113","1333","1332","1237","1080","1052","1039","1116","849","1048","780","783","811","782","903","667","695","856","739","1032","584","681","716","590","778","674","572","690","497","908","420","617","597","454","718","449","372","522","355","771","325","453","446","371","497","366","280","309","204","509","181","216","211","175","265","145","158","152","76","288","82","102","95","74","109","70","28","67","27","111","15","32","32","26","41","12","15","9","10","56"
"6","Waingmaw","AREA # 010102",2,"Yes - some difficulty","5","2","3","1","1","-","3","6","1","5","4","1","2","6","5","5","2","8","7","6","3","5","3","3","5","5","5","3","6","5","11","1","4","6","11","9","9","15","16","15","37","27","34","36","25","64","44","49","46","39","89","41","58","60","55","91","60","34","49","35","99","51","52","54","41","58","30","38","41","27","92","20","29","29","20","48","28","19","22","14","57","4","12","11","12","18","10","8","8","3","24"
"7","Waingmaw","AREA # 010102",3,"Yes - a lot of difficulty","1","2","2","-","-","-","-","1","2","-","3","1","1","3","2","2","-","1","3","2","-","-","-","-","-","1","-","3","1","1","-","-","1","1","1","-","1","1","1","1","4","1","1","1","2","1","3","1","3","5","8","2","7","5","3","6","4","4","2","6","11","1","4","4","4","9","1","5","6","4","17","3","3","1","4","9","1","1","5","3","13","3","2","6","4","5","1","2","2","4","25"
"8","Waingmaw","AREA # 010102",4,"Yes - cannot see at all","-","-","-","-","1","-","-","-","-","2","-","-","1","1","1","1","-","-","-","-","-","-","-","-","1","-","1","-","-","-","1","-","-","1","-","-","-","-","1","-","-","-","-","2","1","3","-","-","-","-","2","2","1","2","-","1","-","2","-","1","-","1","2","1","1","1","1","2","-","2","5","-","-","-","-","3","1","3","-","-","6","2","1","1","1","4","-","1","1","5","14"
"9","Ingyanyan","AREA # 010103",1,"No - no difficulty","18","22","23","19","15","19","31","15","19","15","21","15","14","21","19","17","18","11","18","10","16","11","10","19","11","22","8","16","16","13","22","8","12","7","5","21","9","7","11","8","6","11","11","9","5","15","5","6","8","2","12","5","10","3","4","6","2","2","4","1","10","1","2","-","1","1","-","-","2","-","-","-","-","1","-","3","-","-","1","-","2","-","1","1","-","-","-","2","-","-","-"
"10","Ingyanyan","AREA # 010103",2,"Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","1","1","-","1","1","-","-","-","1","-","1","-","2","-","2","-","-","1","-","1","1","-","1","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
