"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90","AllAges"
"1","Kachin","Myitkyina","AREA # 010151","Hsinbo(ST)","MMR001001","Myitkyina","Hsinbo(ST)",8,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,3,0,0,2,1,4,4,1,1,2,2,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0,49
"2","Kachin","Myitkyina","AREA # 010101","Myitkyina","MMR001001","Myitkyina","Myitkyina",14,4,5,7,8,2,8,6,3,7,5,3,5,6,7,5,5,5,2,5,5,5,4,6,6,6,3,1,2,4,7,5,4,1,2,3,2,1,2,4,8,1,4,4,1,7,3,2,10,5,6,10,3,6,10,7,7,10,9,4,16,7,6,8,10,20,18,13,8,5,20,5,14,18,16,22,11,9,9,12,35,11,9,12,7,19,9,11,6,14,72,754
"3","Kachin","Myitkyina","AREA # 010152","Hsadone(ST)","MMR001002","Waingmaw","Hsadone(ST)",8,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,3,0,0,0,0,0,0,1,0,1,2,0,0,1,0,43
"4","Kachin","Myitkyina","AREA # 010153","Kanpaikti(ST)","MMR001002","Waingmaw","Kanpaikti(ST)",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,3,1,1,0,0,1,1,0,0,1,0,0,0,1,0,2,0,1,0,0,1,1,1,1,2,5,0,0,0,1,0,0,0,0,0,2,40
"5","Kachin","Myitkyina","AREA # 010102","Waingmaw","MMR001002","Waingmaw","Waingmaw",15,5,4,2,1,3,3,2,5,3,2,3,4,5,3,3,1,2,2,0,5,3,2,1,4,2,2,3,3,2,2,0,2,3,2,4,1,4,2,3,3,1,0,4,4,5,2,1,1,1,7,1,5,7,2,4,3,3,0,3,7,1,5,4,7,7,6,6,3,5,25,3,5,6,7,11,4,1,7,4,18,1,3,3,6,8,3,3,1,5,37,387
"6","Kachin","Myitkyina","AREA # 010103","Ingyanyan","MMR001003","Injangyang","Ingyanyan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"7","Kachin","Myitkyina","AREA # 010154","Shinbwayyan(ST)","MMR001004","Tanai","Shinbwayyan(ST)",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9
"8","Kachin","Myitkyina","AREA # 010104","Tanaing","MMR001004","Tanai","Tanaing",0,0,1,2,0,1,1,2,2,1,0,0,2,0,0,0,3,0,1,1,1,1,0,2,2,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,3,0,1,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,1,3,0,0,1,0,1,0,0,0,0,8,66
"9","Kachin","Myitkyina","AREA # 010105","Chiphwe","MMR001005","Chipwi","Chiphwe",0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,3,0,1,0,1,1,1,1,0,1,1,0,0,0,3,29
"10","Kachin","Myitkyina","AREA # 010155","Panwa(ST)","MMR001005","Chipwi","Panwa(ST)",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,2,1,0,1,0,0,1,1,4,0,2,1,0,0,0,0,1,0,2,0,3,0,0,0,1,0,1,0,5,34
