"","AreaCode","SR","District","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","CatNum","Severity","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina",1,"No - no difficulty",2892,2657,2820,2840,2875,2801,2859,3209,3074,3029,3199,2975,3474,3825,3397,3145,3198,3362,3728,3161,3701,2759,2910,2998,2650,3044,2506,2512,2765,2294,3326,2070,2505,2321,1917,2591,1865,1877,2257,1764,2445,1502,2012,1782,1453,2098,1297,1261,1384,996,1548,850,1134,1050,994,1009,847,765,834,605,963,452,587,558,512,641,355,475,347,209,423,206,243,254,206,295,169,111,167,70,164,57,77,69,76,95,50,30,23,27,123
"2","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina",2,"Yes - some difficulty",8,1,1,NA,1,4,3,6,4,NA,4,5,4,10,5,4,8,15,9,6,7,4,5,7,2,8,7,3,9,5,7,2,7,10,2,7,10,6,10,6,18,8,8,5,12,14,10,5,12,9,24,7,17,15,19,14,19,12,16,14,29,14,13,24,15,25,22,27,19,13,37,19,14,17,19,38,22,15,16,15,26,13,17,14,13,15,8,7,4,6,38
"3","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina",3,"Yes - a lot of difficulty",1,2,NA,NA,NA,NA,4,1,NA,1,1,NA,1,2,2,NA,5,NA,2,1,1,3,1,1,1,1,2,2,1,NA,4,1,1,NA,NA,3,2,1,NA,NA,3,1,2,2,5,2,1,1,3,3,5,NA,1,3,4,6,6,2,2,2,2,4,6,2,NA,6,4,6,3,2,11,2,3,5,6,8,NA,2,5,2,11,1,3,3,NA,7,1,2,4,3,20
"4","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina",4,"Yes - cannot hear at all",NA,1,1,1,1,1,2,1,NA,2,4,1,1,3,NA,1,1,NA,1,2,1,2,2,3,NA,2,2,NA,NA,4,2,3,1,3,1,5,1,1,NA,1,2,1,1,NA,NA,6,1,2,3,1,4,NA,3,2,3,2,1,3,2,2,1,NA,1,2,1,NA,NA,NA,2,1,3,NA,1,4,1,5,1,2,3,1,4,NA,1,NA,1,2,2,NA,NA,1,6
"5","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw",1,"No - no difficulty",1161,1065,1138,1228,1220,1308,1218,1286,1236,1277,1310,1089,1345,1357,1260,1064,1097,1059,1269,935,1177,738,862,832,766,975,782,709,862,720,1226,616,784,730,561,857,634,639,690,547,905,509,630,655,490,724,432,394,464,307,641,299,408,396,358,409,356,268,289,197,391,143,183,190,137,226,133,138,95,63,149,55,75,91,65,109,57,37,45,17,57,22,22,18,13,23,15,8,9,6,38
"6","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw",2,"Yes - some difficulty",3,1,2,NA,NA,3,7,8,4,11,6,5,12,7,14,6,9,10,7,4,8,2,7,6,6,13,5,5,7,5,13,9,6,10,9,7,10,7,9,9,15,6,13,14,10,16,9,7,16,10,31,17,23,18,16,15,26,14,20,17,46,19,17,31,21,21,14,10,20,8,35,12,16,20,17,25,15,13,16,5,22,3,5,7,8,9,8,7,2,3,10
"7","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw",3,"Yes - a lot of difficulty",4,NA,1,1,NA,NA,2,NA,3,1,NA,2,NA,4,1,NA,3,1,1,1,2,3,NA,1,4,3,1,4,NA,3,3,1,1,NA,NA,4,2,NA,NA,NA,3,NA,NA,NA,2,3,2,1,3,1,7,NA,5,5,3,6,3,1,3,3,4,1,3,1,1,4,1,5,4,3,1,2,2,4,2,6,4,1,3,2,6,2,2,3,1,2,3,NA,1,NA,9
"8","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw",4,"Yes - cannot hear at all",2,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,2,NA,1,NA,1,1,1,NA,NA,2,NA,NA,1,1,2,1,1,NA,NA,NA,NA,1,1,NA,2,NA,1,2,1,NA,NA,NA,4,1,1,NA,NA,1,1,1,1,NA,NA,NA,2,NA,2,2,NA,NA,2,NA,1,NA,NA,NA,NA,3,NA,1,NA,NA,2,NA,NA,2,1,1,1,NA,NA,NA,3,NA,NA,1,NA,4
"9","AREA # 010103","Kachin","Myitkyina","Ingyanyan","MMR001003","Injangyang","Ingyanyan",1,"No - no difficulty",21,28,16,22,15,25,20,20,31,16,21,21,26,23,16,18,14,22,19,20,23,17,13,10,17,22,14,28,22,12,13,16,18,12,9,26,11,15,13,10,21,7,15,6,3,15,8,11,12,4,13,4,9,7,4,8,4,7,2,1,3,NA,3,1,1,2,1,2,2,3,5,1,1,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"10","AREA # 010103","Kachin","Myitkyina","Ingyanyan","MMR001003","Injangyang","Ingyanyan",2,"Yes - some difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
