"","Ts","AreaCode","CatNum","Severity","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","Myitkyina","AREA # 010101",1,"No - no difficulty","2874","2638","2815","2832","2869","2797","2856","3210","3057","3020","3183","2971","3459","3824","3391","3132","3185","3365","3722","3157","3695","2753","2906","2999","2643","3041","2503","2506","2761","2289","3317","2068","2500","2328","1910","2585","1865","1874","2257","1756","2453","1498","2015","1779","1453","2100","1298","1257","1380","1003","1553","845","1133","1054","994","1014","847","770","840","617","973","458","594","563","513","646","369","493","359","216","441","213","247","269","216","321","184","121","176","79","187","66","91","77","76","107","53","35","25","26","156"
"2","Myitkyina","AREA # 010101",2,"Yes - some difficulty","15","12","4","6","2","3","3","1","12","5","10","2","12","8","6","11","12","8","9","5","9","4","5","6","6","6","7","7","8","5","11","5","8","5","5","11","10","4","3","10","8","9","5","5","16","8","8","9","19","4","17","9","15","10","23","9","20","8","11","4","18","8","9","15","15","18","10","12","10","7","25","12","10","8","13","20","5","5","9","6","11","5","5","4","11","10","3","4","4","7","11"
"3","Myitkyina","AREA # 010101",3,"Yes - a lot of difficulty","8","7","1","1","1","2","2","3","6","3","8","2","4","2","3","5","8","1","5","4","2","5","3","-","2","5","3","1","2","4","5","2","2","-","2","2","1","4","2","3","7","2","3","4","1","10","2","1","3","1","4","1","2","2","2","4","4","-","2","1","2","3","1","5","-","3","-","3","1","2","5","2","2","1","2","4","2","2","5","3","4","-","2","4","1","2","4","-","1","2","14"
"4","Myitkyina","AREA # 010101",4,"Yes - cannot remember/concentrate at all","4","4","2","2","5","4","7","3","3","4","7","6","5","6","4","2","7","3","4","4","4","6","4","4","2","3","4","3","4","5","6","1","4","1","3","8","2","3","5","2","-","3","-","1","-","2","1","2","-","1","7","2","5","4","1","4","2","4","1","1","2","1","3","3","-","5","2","-","1","-","3","-","2","2","1","1","1","2","1","-","3","-","-","1","2","-","1","-","1","2","6"
"5","Waingmaw","AREA # 010102",1,"No - no difficulty","1139","1054","1130","1220","1218","1299","1213","1281","1228","1283","1302","1086","1350","1352","1261","1062","1097","1060","1269","932","1182","738","862","833","766","981","780","712","859","722","1226","617","779","732","559","858","634","639","690","547","906","511","629","659","487","722","431","397","466","306","652","308","421","403","357","415","364","270","300","209","413","149","193","203","147","239","137","145","101","69","164","58","87","99","80","131","64","44","61","19","66","25","25","24","16","27","18","11","9","7","45"
"6","Waingmaw","AREA # 010102",2,"Yes - some difficulty","12","10","11","5","2","8","9","6","9","4","12","6","5","13","7","5","4","10","4","4","3","3","7","2","3","9","4","5","7","2","10","8","9","4","8","7","9","7","7","8","16","4","12","8","11","18","9","3","16","11","22","8","11","15","15","11","16","12","12","10","24","13","8","19","9","12","7","4","16","5","15","11","4","13","3","8","11","4","4","5","16","2","2","3","5","7","5","3","2","2","6"
"7","Waingmaw","AREA # 010102",3,"Yes - a lot of difficulty","17","2","-","2","-","1","3","6","4","3","1","2","2","4","6","3","4","1","2","2","1","2","1","2","7","1","2","2","2","3","3","-","3","1","4","2","3","-","-","-","2","-","2","2","3","5","2","3","1","1","2","-","5","2","4","4","4","2","-","-","2","1","-","-","3","-","3","3","1","-","8","-","1","2","1","1","1","2","1","1","3","1","2","-","1","2","1","1","1","-","6"
"8","Waingmaw","AREA # 010102",4,"Yes - cannot remember/concentrate at all","2","-","-","2","-","3","3","1","3","-","2","3","-","1","1","1","4","-","3","3","1","-","1","2","-","1","3","1","2","2","3","1","-","3","-","2","-","2","2","2","1","1","-","-","1","2","2","-","-","-","4","1","-","-","1","-","1","1","-","-","4","-","2","2","-","1","1","1","1","-","1","-","2","1","-","2","-","1","-","-","1","-","-","1","-","1","2","-","1","-","4"
"9","Ingyanyan","AREA # 010103",1,"No - no difficulty","21","28","16","21","15","25","20","20","31","16","21","21","26","24","16","18","14","22","19","19","25","17","13","11","17","22","15","28","22","12","13","16","19","12","9","26","12","15","13","10","21","8","15","6","3","15","9","11","12","4","13","4","9","7","4","8","4","7","2","1","3","-","4","1","1","2","1","1","2","3","5","1","1","1","-","-","1","-","-","1","-","-","1","-","-","-","-","-","-","-","-"
"10","Ingyanyan","AREA # 010103",2,"Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","1","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
