"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","Kachin","Myitkyina","AREA # 010151","Hsinbo(ST)","MMR001001","Myitkyina","Hsinbo(ST)",9,1,1,0,1,0,0,1,1,1,1,0,1,2,2,0,1,0,2,0,0,0,0,1,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,2,1,0,2,1,1,1,1,0,1,1,0,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0
"2","Kachin","Myitkyina","AREA # 010101","Myitkyina","MMR001001","Myitkyina","Myitkyina",12,11,3,3,6,6,9,6,9,7,15,8,9,8,7,7,15,4,9,8,6,11,7,4,4,8,7,4,6,9,11,3,6,1,5,10,3,7,7,5,7,5,3,5,1,12,3,3,3,2,11,3,7,6,3,8,6,4,3,2,4,4,4,8,0,8,2,3,2,2,8,2,4,3,3,5,3,4,6,3,7,0,2,5,3,2,5,0,2,4,20
"3","Kachin","Myitkyina","AREA # 010152","Hsadone(ST)","MMR001002","Waingmaw","Hsadone(ST)",2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"4","Kachin","Myitkyina","AREA # 010153","Kanpaikti(ST)","MMR001002","Waingmaw","Kanpaikti(ST)",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0
"5","Kachin","Myitkyina","AREA # 010102","Waingmaw","MMR001002","Waingmaw","Waingmaw",19,2,0,4,0,4,6,7,7,3,3,5,2,5,7,4,8,1,5,5,2,2,2,4,7,2,5,3,4,5,6,1,3,4,4,4,3,2,2,2,3,1,2,2,4,7,4,3,1,1,6,1,5,2,5,4,5,3,0,0,6,1,2,2,3,1,4,4,2,0,9,0,3,3,1,3,1,3,1,1,4,1,2,1,1,3,3,1,2,0,10
"6","Kachin","Myitkyina","AREA # 010103","Ingyanyan","MMR001003","Injangyang","Ingyanyan",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Kachin","Myitkyina","AREA # 010154","Shinbwayyan(ST)","MMR001004","Tanai","Shinbwayyan(ST)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Kachin","Myitkyina","AREA # 010104","Tanaing","MMR001004","Tanai","Tanaing",0,0,0,0,1,2,1,1,1,2,1,1,2,2,2,0,2,1,0,0,0,0,0,2,0,3,1,3,2,2,2,0,2,0,1,3,0,1,0,0,1,1,3,1,0,1,0,0,1,0,3,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Kachin","Myitkyina","AREA # 010105","Chiphwe","MMR001005","Chipwi","Chiphwe",0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2
"10","Kachin","Myitkyina","AREA # 010155","Panwa(ST)","MMR001005","Chipwi","Panwa(ST)",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
"11","Kachin","Myitkyina","AREA # 010106","Hsotlaw","MMR001006","Tsawlaw","Hsotlaw",0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,3
"12","Kachin","Mohnyin","AREA # 010251","Hopin(ST)","MMR001007","Mohnyin","Hopin(ST)",0,1,0,0,0,0,1,1,2,3,0,1,2,0,2,1,0,1,1,2,3,1,0,1,2,0,2,2,2,0,3,2,2,1,1,4,1,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,1,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,2,1,2,1,0,2,0,3
"13","Kachin","Mohnyin","AREA # 010201","Mohnyin","MMR001007","Mohnyin","Mohnyin",3,1,1,0,5,3,4,2,3,2,4,3,2,7,4,9,4,2,2,3,1,4,1,5,1,1,1,1,2,1,6,1,4,1,3,6,1,1,1,0,4,2,1,3,5,6,0,0,1,0,2,1,1,0,1,3,3,2,0,1,6,0,1,0,2,1,0,1,2,1,3,0,1,1,1,5,1,0,1,0,0,1,1,2,2,2,1,0,1,0,4
"14","Kachin","Mohnyin","AREA # 010202","Mogaung","MMR001008","Mogaung","Mogaung",1,1,0,1,2,3,0,2,8,2,4,3,5,7,5,4,0,1,0,1,8,1,3,2,1,4,1,2,1,1,3,1,3,3,1,4,1,2,1,2,5,1,2,1,1,3,1,2,2,0,4,3,1,1,1,2,0,0,1,2,2,1,0,0,0,0,0,1,0,0,4,0,1,0,2,1,1,0,0,1,2,0,0,3,0,0,0,1,0,0,2
"15","Kachin","Mohnyin","AREA # 010203","Phakant","MMR001009","Hpakant","Phakant",13,3,5,1,2,4,7,4,5,6,2,4,6,4,5,2,1,0,4,1,3,0,4,2,4,4,4,1,4,2,3,1,2,0,1,4,0,3,4,0,4,2,2,1,3,1,2,1,2,0,2,2,3,3,1,2,2,1,1,0,2,2,2,2,1,1,1,2,1,1,8,2,0,1,1,3,0,1,1,0,6,1,1,1,0,2,0,0,1,1,6
"16","Kachin","Mohnyin","AREA # 010252","Kamine(ST)","MMR001009","Hpakant","Kamine(ST)",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"17","Kachin","Bhamo","AREA # 010301","Bhamo","MMR001010","Bhamo","Bhamo",11,0,2,3,3,7,5,6,3,7,8,3,6,6,4,2,2,3,6,2,4,3,4,8,1,5,2,3,1,1,4,2,3,3,5,2,4,4,4,4,8,1,4,4,0,2,1,2,5,1,2,3,3,4,2,3,5,5,3,0,2,2,1,3,0,3,0,3,0,3,5,1,2,2,1,3,3,3,2,1,4,0,2,2,2,1,0,0,1,1,4
"18","Kachin","Bhamo","AREA # 010351","Myohla(ST)","MMR001011","Shwegu","Myohla(ST)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Kachin","Bhamo","AREA # 010302","Shwegu","MMR001011","Shwegu","Shwegu",18,4,0,1,2,0,2,4,4,4,5,7,4,5,4,2,4,5,5,3,2,5,3,1,1,4,0,4,4,1,0,0,0,0,1,3,1,3,1,0,1,1,3,1,3,4,0,1,1,0,4,1,2,0,4,1,1,0,0,2,6,0,3,2,2,0,3,0,1,2,2,0,0,0,0,1,1,6,2,2,0,1,0,2,0,0,1,1,1,0,0
"20","Kachin","Bhamo","AREA # 010352","Lwe`ge`(ST)","MMR001012","Momauk","Lwe`ge`(ST)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,6,1,2,0,2,3,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
"21","Kachin","Bhamo","AREA # 010353","Dotphoneyan(ST)","MMR001012","Momauk","Dotphoneyan(ST)",0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"22","Kachin","Bhamo","AREA # 010303","Momauk","MMR001012","Momauk","Momauk",2,0,0,0,0,2,1,2,1,1,3,2,5,1,1,3,0,3,2,0,2,1,0,5,3,2,2,2,1,2,2,0,2,1,1,2,1,2,2,0,5,2,1,0,2,5,1,0,2,1,4,0,2,2,0,1,0,2,0,1,1,3,2,0,2,3,0,0,0,2,0,1,2,0,0,2,0,0,2,0,3,0,0,1,1,0,0,0,1,1,5
"23","Kachin","Bhamo","AREA # 010304","Mansi","MMR001013","Mansi","Mansi",3,1,2,1,0,1,0,4,1,4,4,2,5,2,0,2,4,4,2,1,1,2,3,1,1,2,0,3,0,1,4,2,2,2,0,3,1,0,2,1,2,1,1,0,0,0,0,2,1,0,3,1,0,1,1,1,1,3,0,0,2,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2,2,5,0,1,2,0,0,1,1,1,2,0,0,0,1
"24","Kachin","Putao","AREA # 010401","Putao","MMR001014","Puta-O","Putao",9,4,0,0,0,1,0,0,5,4,2,1,1,2,2,2,3,2,4,1,4,1,3,1,1,2,4,0,1,3,2,1,1,0,2,3,0,1,0,1,4,1,0,1,4,1,1,2,3,2,5,1,2,1,0,2,0,0,3,0,1,1,1,0,3,1,1,2,0,0,3,0,4,1,1,1,0,1,3,1,7,1,3,1,2,5,1,0,0,3,12
"25","Kachin","Putao","AREA # 010402","Sumprabum","MMR001015","Sumprabum","Sumprabum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,2,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
"26","Kachin","Putao","AREA # 010403","Machanbaw","MMR001016","Machanbaw","Machanbaw",1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,1,0,2,1,0,0,1,1,2,1,2,3,0,4,1,0,1,0,2,0,1,1,1,4,2,0,0,1,2,1,0,2,1,4,0,1,3,1,1,0,0,1,0,1,0,1,1,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3
"27","Kachin","Putao","AREA # 010451","Pannandin(ST)","MMR001017","Nawngmun","Pannandin(ST)",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,4
"28","Kachin","Putao","AREA # 010405","Naungmoon","MMR001017","Nawngmun","Naungmoon",2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2
"29","Kachin","Putao","AREA # 010404","Khaunglanphoo","MMR001018","Khaunglanhpu","Khaunglanphoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,3,1,2,0,0,1,1,0,2,3,4,0,2,1,0,0,0,1,4
"30","Kayah","Loikaw","AREA # 020101","Loikaw","MMR002001","Loikaw","Loikaw",3,2,4,2,3,3,2,10,1,7,5,4,5,4,4,5,4,4,7,2,5,5,2,3,4,5,1,3,2,6,4,2,3,5,1,8,1,3,2,0,6,4,6,5,3,3,4,3,1,3,2,4,1,3,0,3,1,3,4,4,4,4,4,2,0,4,3,8,2,0,5,2,2,5,3,6,3,2,5,3,8,3,2,4,6,1,3,2,3,1,11
"31","Kayah","Loikaw","AREA # 020102","Dimawso","MMR002002","Demoso","Dimawso",24,13,4,3,3,3,1,0,1,1,1,3,2,4,4,0,1,2,1,2,4,1,1,1,0,2,1,0,4,2,7,0,4,2,1,3,3,4,1,2,3,0,1,3,2,4,2,1,3,2,5,1,1,1,1,0,2,2,0,0,2,1,1,3,4,2,2,2,1,4,7,2,4,2,5,1,3,3,0,2,3,4,3,4,1,8,2,4,0,3,8
"32","Kayah","Loikaw","AREA # 020103","Phruso","MMR002003","Hpruso","Phruso",1,0,0,0,0,0,2,1,0,0,1,0,2,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,2,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,2,0,2,3,3,1,3,1,2,1,4,1,0,2,0,1,4,1,0,1,4,0,1,1,0,0,0,0,0,1,3
"33","Kayah","Loikaw","AREA # 020104","Shardaw","MMR002004","Shadaw","Shardaw",0,0,1,0,0,0,3,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"34","Kayah","Bawlakhe","AREA # 020201","Bawlakhe","MMR002005","Bawlake","Bawlakhe",0,0,1,0,1,0,0,0,2,2,0,0,2,0,1,2,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"35","Kayah","Bawlakhe","AREA # 020251","Ywathit(ST)","MMR002005","Bawlake","Ywathit(ST)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Kayah","Bawlakhe","AREA # 020202","Parsaung","MMR002006","Hpasawng","Parsaung",0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,1,0,0,1,0
"37","Kayah","Bawlakhe","AREA # 020203","Meisi","MMR002007","Mese","Meisi",0,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Kayin","Hpa-an","AREA # 030101","Hpa-an","MMR003001","Hpa-An","Hpa-an",83,42,23,18,19,18,16,16,14,18,19,25,17,10,12,11,16,4,19,11,11,3,10,7,7,12,10,7,11,6,20,8,16,12,4,23,7,17,13,7,17,5,10,6,8,19,10,7,6,8,20,4,6,16,11,12,12,3,16,11,13,5,17,13,4,16,8,12,12,4,30,6,18,9,8,21,7,6,22,1,21,6,8,10,3,12,8,8,3,3,25
"39","Kayin","Hpa-an","AREA # 030151","Paingkyon(ST)","MMR003002","Hlaingbwe","Paingkyon(ST)",31,8,4,1,2,2,2,5,3,1,7,3,4,5,7,1,2,3,4,3,10,5,4,1,0,6,1,0,4,3,8,1,4,1,5,5,5,3,3,5,1,0,0,2,2,4,3,1,4,3,4,0,4,1,4,5,1,1,8,1,8,0,2,7,1,6,1,6,3,2,29,3,4,5,5,16,5,7,4,2,19,2,7,2,4,10,3,4,3,1,20
"40","Kayin","Hpa-an","AREA # 030152","Shan Ywathit(ST)","MMR003002","Hlaingbwe","Shan Ywathit(ST)",0,0,0,2,1,0,1,0,1,1,1,0,2,0,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"41","Kayin","Hpa-an","AREA # 030102","Hlaingbwe","MMR003002","Hlaingbwe","Hlaingbwe",35,14,4,9,5,2,7,3,5,4,6,6,7,10,9,6,4,4,3,1,2,5,4,8,1,5,2,3,4,5,3,2,4,5,6,4,2,3,3,1,4,1,2,4,3,6,3,2,1,2,3,1,2,4,1,4,2,5,3,2,5,4,0,3,4,8,2,5,1,2,6,4,4,4,2,12,2,3,4,2,9,6,3,2,6,7,1,2,2,1,7
"42","Kayin","Pharpon","AREA # 030201","Pharpon","MMR003003","Hpapun","Pharpon",2,4,0,1,4,3,0,2,3,1,1,0,1,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,2,2,1,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,2,0,1,1
