"","AreaCode","SR","District","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","CatNum","Severity","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina",1,"No - no difficulty",2891,2658,2820,2840,2872,2806,2864,3209,3074,3026,3204,2977,3475,3828,3398,3138,3200,3366,3732,3161,3704,2761,2910,3002,2647,3042,2508,2510,2761,2291,3315,2066,2498,2326,1908,2591,1859,1877,2249,1762,2441,1497,1992,1766,1430,2077,1274,1229,1344,968,1515,816,1108,1015,957,975,824,735,803,589,925,437,559,527,490,620,345,453,327,204,421,195,227,236,196,284,168,109,159,72,160,59,74,71,73,97,47,29,25,23,134
"2","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina",2,"Yes - some difficulty",9,1,1,NA,3,NA,2,3,4,3,2,4,2,8,3,6,7,5,6,8,4,4,1,5,2,10,8,4,9,9,18,8,10,6,10,12,15,3,15,7,17,14,28,21,35,37,33,38,54,39,57,36,43,48,58,47,46,35,49,29,61,28,41,53,33,47,32,48,38,16,43,31,30,29,28,54,22,17,25,15,29,11,20,13,15,15,8,7,4,9,25
"3","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina",3,"Yes - a lot of difficulty",1,2,NA,NA,1,NA,NA,1,NA,1,1,NA,3,2,2,2,1,NA,NA,1,NA,2,3,1,2,1,1,3,2,2,2,NA,1,1,NA,2,3,2,NA,NA,2,NA,2,2,3,2,1,1,2,1,4,NA,4,4,3,5,1,7,1,2,8,3,4,3,2,5,4,6,4,5,6,NA,3,10,7,6,1,2,5,1,12,NA,3,2,1,6,4,3,2,4,18
"4","AREA # 010101","Kachin","Myitkyina","Myitkyina","MMR001001","Myitkyina","Myitkyina",4,"Yes - cannot see at all",NA,NA,1,1,1,NA,2,4,NA,2,1,NA,NA,2,1,4,4,6,2,NA,2,1,4,1,2,2,NA,NA,3,1,4,2,5,1,2,1,1,3,3,2,8,1,1,NA,2,4,1,1,2,1,5,5,NA,3,2,4,2,5,1,3,1,2,3,3,3,NA,NA,1,2,NA,4,1,1,5,1,2,1,2,2,NA,4,1,1,NA,1,1,2,NA,NA,1,10
"5","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw",1,"No - no difficulty",1160,1066,1139,1226,1220,1308,1223,1288,1237,1286,1313,1092,1350,1358,1262,1063,1099,1065,1267,940,1179,738,866,837,769,986,786,713,868,723,1230,618,784,730,562,859,638,641,694,543,898,506,619,636,483,706,405,375,448,280,612,285,384,375,325,386,339,248,271,188,371,126,173,175,129,210,119,123,89,55,146,53,67,79,57,99,49,41,51,15,54,17,18,18,14,28,12,7,8,6,35
"6","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw",2,"Yes - some difficulty",5,NA,2,NA,NA,2,3,6,3,4,3,5,6,8,12,3,8,4,8,1,6,4,4,2,6,5,2,4,2,6,7,7,7,7,9,9,5,6,4,14,21,8,22,28,17,39,35,26,29,37,59,29,49,37,47,42,43,33,37,25,65,32,26,44,27,37,25,23,28,17,31,15,23,30,24,35,22,7,10,7,29,8,7,9,4,7,10,8,5,2,18
"7","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw",3,"Yes - a lot of difficulty",4,NA,NA,2,NA,1,2,NA,3,NA,NA,NA,1,4,1,3,2,2,2,NA,1,1,NA,NA,1,1,1,3,NA,NA,5,NA,NA,1,NA,1,2,NA,1,NA,6,2,1,4,1,2,4,1,4,1,6,3,3,8,5,2,2,2,3,4,6,5,3,4,2,5,4,5,2,2,7,1,3,5,2,5,5,2,5,1,2,2,4,1,4,1,4,NA,NA,NA,6
"8","AREA # 010102","Kachin","Myitkyina","Waingmaw","MMR001002","Waingmaw","Waingmaw",4,"Yes - cannot see at all",1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,2,NA,3,NA,1,NA,NA,NA,1,2,1,2,1,NA,1,1,1,NA,NA,2,NA,NA,4,NA,1,1,1,3,NA,1,NA,2,1,1,NA,NA,NA,1,NA,NA,NA,1,2
"9","AREA # 010103","Kachin","Myitkyina","Ingyanyan","MMR001003","Injangyang","Ingyanyan",1,"No - no difficulty",21,28,16,22,15,25,20,19,31,16,22,21,25,24,16,18,14,22,19,22,25,17,13,12,18,22,15,28,21,12,13,16,19,12,9,27,12,15,13,9,19,8,14,6,3,13,10,10,11,5,12,3,8,7,4,5,3,6,1,1,3,NA,2,1,1,1,1,2,1,2,3,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"10","AREA # 010103","Kachin","Myitkyina","Ingyanyan","MMR001003","Injangyang","Ingyanyan",2,"Yes - some difficulty",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,2,NA,1,1,NA,1,1,2,NA,NA,3,1,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","AREA # 010103","Kachin","Myitkyina","Ingyanyan","MMR001003","Injangyang","Ingyanyan",3,"Yes - a lot of difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","AREA # 010104","Kachin","Myitkyina","Tanaing","MMR001004","Tanai","Tanaing",1,"No - no difficulty",589,554,520,562,533,514,573,547,534,504,571,448,524,542,513,477,463,451,612,461,604,447,488,516,455,629,505,511,569,432,744,379,558,485,421,546,362,389,423,309,541,255,345,328,249,393,215,194,187,163,253,123,147,161,136,166,130,81,90,80,139,45,39,64,41,70,33,39,23,13,59,17,13,21,12,19,5,7,13,5,18,2,5,7,6,12,1,2,3,1,20
"13","AREA # 010104","Kachin","Myitkyina","Tanaing","MMR001004","Tanai","Tanaing",2,"Yes - some difficulty",NA,1,NA,1,NA,NA,NA,3,1,2,NA,NA,1,NA,2,1,NA,1,NA,3,1,NA,1,1,1,2,3,2,1,2,4,1,4,4,1,3,3,2,7,1,6,9,9,5,14,14,8,14,13,13,23,16,14,17,11,21,19,9,14,8,15,8,6,8,9,9,8,9,10,4,15,4,3,1,2,5,4,1,3,1,4,1,1,1,2,1,1,1,1,NA,6
