"","Ts","AreaCode","CatNum","Severity","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1","Myitkyina","AREA # 010101",1,"No - no difficulty","2868","2638","2811","2830","2863","2795","2854","3209","3064","3020","3193","2975","3471","3824","3395","3134","3196","3365","3725","3156","3696","2758","2903","2989","2642","3032","2509","2501","2752","2292","3317","2066","2488","2322","1908","2587","1868","1865","2242","1754","2428","1497","1990","1768","1452","2100","1291","1248","1372","988","1546","843","1115","1050","990","1005","841","758","824","612","956","457","587","547","505","642","361","483","342","208","435","215","245","251","209","311","180","116","164","77","177","64","82","73","70","99","46","30","27","20","139"
"2","Myitkyina","AREA # 010101",2,"Yes - some difficulty","15","13","4","8","4","5","3","3","8","4","6","3","6","9","6","7","9","8","10","10","6","8","8","11","11","14","6","6","18","6","14","7","16","8","8","14","6","14","19","12","26","12","18","11","13","14","14","16","22","17","20","13","30","14","23","13","21","14","19","6","18","8","12","25","17","16","15","19","17","14","27","11","7","13","17","28","6","7","13","9","13","7","12","5","10","14","8","7","1","11","15"
"3","Myitkyina","AREA # 010101",3,"Yes - a lot of difficulty","7","8","2","-","2","4","6","1","2","3","2","3","-","2","1","7","5","4","2","4","8","-","4","5","-","5","2","8","2","3","5","2","6","2","1","4","4","4","3","2","10","2","9","7","3","4","2","3","8","2","11","1","7","4","6","11","9","5","5","3","13","1","5","8","3","4","3","5","8","1","8","-","6","10","2","7","4","4","11","-","8","-","3","5","6","5","3","1","2","3","17"
"4","Myitkyina","AREA # 010101",4,"Yes - cannot walk at all","11","2","5","3","8","2","5","4","4","5","7","-","3","5","2","2","2","-","3","-","-","2","3","4","-","4","-","2","3","2","3","1","4","2","3","1","-","2","3","3","4","1","6","3","2","2","2","2","-","2","4","-","3","2","1","2","2","5","6","2","8","4","3","6","3","10","2","1","4","2","4","1","3","6","4","-","2","3","3","2","7","-","1","3","4","1","4","1","1","3","16"
"5","Waingmaw","AREA # 010102",1,"No - no difficulty","1124","1047","1129","1218","1215","1306","1215","1289","1234","1284","1309","1089","1349","1358","1264","1063","1103","1064","1265","930","1174","734","858","832","767","987","781","704","857","719","1229","615","776","731","560","858","638","640","685","548","896","503","633","653","487","729","427","390","468","309","657","307","418","400","364","413","357","267","302","208","412","147","191","199","140","234","134","136","104","68","160","60","81","97","71","128","64","39","55","18","64","24","24","22","17","26","16","9","11","7","42"
"6","Waingmaw","AREA # 010102",2,"Yes - some difficulty","24","17","8","5","4","1","8","4","1","4","6","2","6","6","7","5","4","2","7","6","8","5","9","3","6","5","4","10","9","5","9","9","11","7","9","6","6","5","12","8","20","8","8","11","9","14","13","11","10","7","19","9","16","18","11","13","24","12","7","7","22","14","7","19","13","16","12","12","11","6","19","7","8","11","13","10","10","9","6","3","16","2","3","5","4","6","5","4","1","2","8"
"7","Waingmaw","AREA # 010102",3,"Yes - a lot of difficulty","18","2","3","3","1","2","2","-","1","1","1","1","2","5","3","3","-","3","1","3","4","3","2","2","2","-","3","3","3","3","2","1","4","1","2","5","2","2","2","1","7","4","2","5","5","4","2","1","3","1","3","-","3","1","2","3","2","5","3","1","5","1","3","4","5","2","2","2","3","-","4","1","2","5","-","3","2","3","3","2","5","2","2","1","-","1","3","-","1","-","7"
"8","Waingmaw","AREA # 010102",4,"Yes - cannot walk at all","4","-","1","3","-","2","3","1","8","1","1","5","-","1","1","-","2","2","5","2","1","1","2","2","1","-","1","3","1","2","2","1","-","1","-","-","-","1","-","-","2","1","-","-","1","-","2","1","2","1","1","1","-","1","-","1","2","1","-","3","4","1","2","2","1","-","-","3","1","-","5","1","3","2","-","1","-","-","2","2","1","-","-","-","1","4","2","2","-","-","4"
"9","Ingyanyan","AREA # 010103",1,"No - no difficulty","21","28","16","21","15","25","20","20","31","16","22","21","26","24","16","18","14","22","19","20","25","17","13","11","18","22","14","28","22","12","13","15","19","12","9","27","12","15","12","10","21","8","15","6","3","15","10","11","11","5","14","4","9","6","4","8","4","7","2","1","3","-","4","1","1","2","1","2","2","2","5","1","1","2","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-"
"10","Ingyanyan","AREA # 010103",2,"Yes - some difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-"
